States/UTs,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year
Andhra Pradesh,48,1,49,Jumping red Lights,2018
Arunachal Pradesh,0,0,0,Jumping red Lights,2018
Assam,159,62,149,Jumping red Lights,2018
Bihar,130,79,99,Jumping red Lights,2018
Chhattisgarh,37,3,28,Jumping red Lights,2018
Goa,1,0,2,Jumping red Lights,2018
Gujarat,181,53,192,Jumping red Lights,2018
Haryana,512,218,578,Jumping red Lights,2018
Himachal Pradesh,0,0,0,Jumping red Lights,2018
Jammu & Kashmir,26,4,44,Jumping red Lights,2018
Jharkhand,47,31,34,Jumping red Lights,2018
Karnataka,69,4,61,Jumping red Lights,2018
Kerala,105,8,113,Jumping red Lights,2018
Madhya Pradesh,99,8,78,Jumping red Lights,2018
Maharashtra,98,16,94,Jumping red Lights,2018
Manipur,10,2,21,Jumping red Lights,2018
Meghalaya,8,6,3,Jumping red Lights,2018
Mizoram,0,0,0,Jumping red Lights,2018
Nagaland,0,0,0,Jumping red Lights,2018
Orissa,218,88,187,Jumping red Lights,2018
Punjab,240,161,117,Jumping red Lights,2018
Rajasthan,12,6,11,Jumping red Lights,2018
Sikkim,0,0,0,Jumping red Lights,2018
Tamil Nadu,939,290,999,Jumping red Lights,2018
Telangana,54,10,49,Jumping red Lights,2018
Tripura,0,0,0,Jumping red Lights,2018
Uttarakhand,2,1,11,Jumping red Lights,2018
Uttar Pradesh,679,284,560,Jumping red Lights,2018
West Bengal,53,26,43,Jumping red Lights,2018
A & N Islands,0,0,0,Jumping red Lights,2018
Chandigarh,10,1,13,Jumping red Lights,2018
D & N Haveli,0,0,0,Jumping red Lights,2018
Daman & Diu,0,0,0,Jumping red Lights,2018
Delhi,658,176,583,Jumping red Lights,2018
Lakshadweep,0,0,0,Jumping red Lights,2018
Puducherry,46,7,18,Jumping red Lights,2018
Andhra Pradesh,82,7,70,Use of Mobile Phones,2018
Arunachal Pradesh,51,32,64,Use of Mobile Phones,2018
Assam,112,22,108,Use of Mobile Phones,2018
Bihar,103,61,95,Use of Mobile Phones,2018
Chhattisgarh,58,12,64,Use of Mobile Phones,2018
Goa,0,0,0,Use of Mobile Phones,2018
Gujarat,460,187,444,Use of Mobile Phones,2018
Haryana,474,269,474,Use of Mobile Phones,2018
Himachal Pradesh,0,0,0,Use of Mobile Phones,2018
Jammu & Kashmir,4,0,8,Use of Mobile Phones,2018
Jharkhand,310,206,130,Use of Mobile Phones,2018
Karnataka,173,44,125,Use of Mobile Phones,2018
Kerala,26,4,24,Use of Mobile Phones,2018
Madhya Pradesh,465,61,496,Use of Mobile Phones,2018
Maharashtra,187,55,216,Use of Mobile Phones,2018
Manipur,29,2,45,Use of Mobile Phones,2018
Meghalaya,14,8,5,Use of Mobile Phones,2018
Mizoram,0,0,0,Use of Mobile Phones,2018
Nagaland,0,0,0,Use of Mobile Phones,2018
Orissa,611,260,647,Use of Mobile Phones,2018
Punjab,252,158,134,Use of Mobile Phones,2018
Rajasthan,39,18,67,Use of Mobile Phones,2018
Sikkim,4,3,3,Use of Mobile Phones,2018
Tamil Nadu,1477,252,1561,Use of Mobile Phones,2018
Telangana,17,3,26,Use of Mobile Phones,2018
Tripura,0,0,0,Use of Mobile Phones,2018
Uttarakhand,0,0,0,Use of Mobile Phones,2018
Uttar Pradesh,3828,1956,2821,Use of Mobile Phones,2018
West Bengal,19,50,26,Use of Mobile Phones,2018
11,0,0,0,Use of Mobile Phones,2018
Chandigarh,0,0,0,Use of Mobile Phones,2018
