,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year,States
601,9407.078014184395,403.0,2106,2,2017,35
602,9407.078014184395,1687.0,2524,2,2017,34
603,9407.078014184395,315.0,1485,3,2017,33
604,9407.078014184395,752.0,997,3,2017,15
605,9407.078014184395,332.0,1375,3,2017,16
606,9407.078014184395,688.0,3104,3,2017,1
607,9407.078014184395,207.0,2069,3,2017,22
608,9407.078014184395,109.0,1431,3,2017,23
609,9407.078014184395,610.0,4085,3,2017,24
610,9407.078014184395,657.0,1840,3,2017,25
611,9407.078014184395,474.0,1079,3,2017,27
612,9407.078014184395,656.0,3666,3,2017,35
613,9407.078014184395,2562.0,3609,3,2017,34
614,9407.078014184395,405.0,2515,4,2017,35
615,9407.078014184395,242.0,1285,5,2017,35
616,9407.078014184395,1512.0,2306,5,2017,34
617,9407.078014184395,6196.0,18119,1,2018,33
618,9407.078014184395,995.0,1436,1,2018,14
619,9407.078014184395,5809.0,5378,1,2018,15
620,9407.078014184395,4270.0,11824,1,2018,16
621,9407.078014184395,216.0,1319,1,2018,17
622,9407.078014184395,6988.0,14865,1,2018,18
623,9407.078014184395,2657.0,4923,1,2018,19
624,9407.078014184395,536.0,2385,1,2018,1
625,9407.078014184395,971.0,7743,1,2018,20
626,9407.078014184395,2052.0,2288,1,2018,21
627,9407.078014184395,8714.0,35886,1,2018,22
628,9407.078014184395,2985.0,33989,1,2018,23
629,9407.078014184395,8635.0,42736,1,2018,24
630,9407.078014184395,3926.0,8683,1,2018,25
631,9407.078014184395,3644.0,7875,1,2018,32
632,9407.078014184395,2540.0,1621,1,2018,26
633,9407.078014184395,9618.0,19895,1,2018,27
634,9407.078014184395,9224.0,53348,1,2018,35
635,9407.078014184395,6212.0,22414,1,2018,28
636,9407.078014184395,7098.0,9371,1,2018,34
637,9407.078014184395,2326.0,4375,1,2018,30
638,9407.078014184395,748.0,2618,1,2018,31
639,9407.078014184395,85.0,187,2,2018,33
640,9407.078014184395,555.0,1112,2,2018,32
641,9407.078014184395,225.0,1359,2,2018,35
642,9407.078014184395,1824.0,2594,2,2018,34
643,9407.078014184395,482.0,1188,3,2018,14
644,9407.078014184395,777.0,1089,3,2018,15
645,9407.078014184395,262.0,1596,3,2018,22
646,9407.078014184395,115.0,1713,3,2018,23
647,9407.078014184395,617.0,3087,3,2018,24
648,9407.078014184395,384.0,924,3,2018,25
649,9407.078014184395,527.0,3418,3,2018,35
650,9407.078014184395,2253.0,3317,3,2018,34
651,9407.078014184395,252.0,1561,5,2018,35
652,9407.078014184395,1956.0,2821,5,2018,34
653,9407.078014184395,5530.0,16844,1,2019,33
654,9407.078014184395,2426.0,6025,1,2019,14
655,9407.078014184395,3815.0,3847,1,2019,15
656,9407.078014184395,4440.0,11632,1,2019,16
657,9407.078014184395,233.0,1228,1,2019,17
658,9407.078014184395,6343.0,13398,1,2019,18
659,9407.078014184395,3640.0,5949,1,2019,19
660,9407.078014184395,673.0,2903,1,2019,1
661,9407.078014184395,980.0,7401,1,2019,20
662,9407.078014184395,2195.0,1979,1,2019,21
663,9407.078014184395,9140.0,38414,1,2019,22
664,9407.078014184395,2928.0,33334,1,2019,23
665,9407.078014184395,9341.0,42042,1,2019,24
666,9407.078014184395,8175.0,17312,1,2019,25
667,9407.078014184395,3808.0,7731,1,2019,32
668,9407.078014184395,905.0,829,1,2019,26
669,9407.078014184395,9050.0,18781,1,2019,27
670,9407.078014184395,8832.0,55415,1,2019,35
671,9407.078014184395,6739.0,21321,1,2019,28
672,9407.078014184395,8398.0,10307,1,2019,34
673,9407.078014184395,2050.0,3903,1,2019,30
674,9407.078014184395,713.0,2093,1,2019,31
675,9407.078014184395,889.0,1059,2,2019,26
676,9407.078014184395,2224.0,3070,2,2019,34
677,9407.078014184395,1034.0,1086,3,2019,15
678,9407.078014184395,248.0,1520,3,2019,22
679,9407.078014184395,131.0,1791,3,2019,23
680,9407.078014184395,555.0,2952,3,2019,24
681,9407.078014184395,987.0,984,3,2019,26
682,9407.078014184395,478.0,1139,3,2019,27
